project,id.project,range.date,devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree.centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,org.silo,org.siloN
vlc,59,2013-11 -- 2014-02,101,54,9,38,0.5347,0.0891,0.3762,8,0.0792,0,0,15,35,34,13,0.6176,0.9271,0.5894,0.4835,0.4533,0.4932,0.24,0.6393,0.6139,0.6535,0.6304,0.7234,0.0293,0.3615,0.4842,0.2985,0.144,0.3379,0.0558,22,1,12,0.6286,0.0286,0.3429,2,DECREASE
vlc,59,2014-02 -- 2014-05,136,54,41,41,0.3971,0.3015,0.3015,14,0.1029,1,0.0122,23,38,36,15,0.6557,0.967,0.4895,0.3566,0.3836,0.4286,0.2143,0.6379,0.4853,0.7206,0.6211,0.8171,0.0108,0.2746,0.4392,0.3446,0.0976,0.4578,0.0275,23,2,13,0.6053,0.0526,0.3421,3,INCREASE
vlc,59,2014-05 -- 2014-08,120,35,41,44,0.2917,0.3417,0.3667,16,0.1333,4,0.0471,16,33,31,14,0.5349,0.9609,0.5234,0.3114,0.6479,0.6866,0.4138,0.5821,0.425,0.725,0.6076,0.8353,0.0111,0.2092,0.3737,0.6039,0.3637,0.7117,0.0297,20,3,11,0.5882,0.0882,0.3235,7,INCREASE
vlc,59,2014-08 -- 2014-11,70,30,12,28,0.4286,0.1714,0.4,7,0.1,4,0.1,18,23,23,12,0.5435,0.9098,0.8842,0.944,0.6429,0.4815,0.5385,0.369,0.5857,0.6714,0.6034,0.7,0.0307,0.4097,0.5611,0.21,0.1972,0.1831,0.0621,14,3,9,0.5385,0.1154,0.3462,4,DECREASE
vlc,59,2014-11 -- 2015-02,95,51,11,33,0.5368,0.1158,0.3474,10,0.1053,1,0.0227,15,33,32,10,0.5128,0.9196,0.4364,0.4762,0.3571,0.3273,0.6364,0.5833,0.5789,0.6526,0.619,0.7727,0.0176,0.3401,0.543,0.1164,0.0825,0.3707,0.0421,25,3,7,0.7143,0.0857,0.2,1,DECREASE
vlc,59,2015-02 -- 2015-05,102,58,8,36,0.5686,0.0784,0.3529,22,0.2157,1,0.0227,16,34,35,9,0.75,0.9562,0.6497,0.6136,0.5672,0.5075,0.6316,0.5781,0.5686,0.6667,0.6277,0.7955,0.0258,0.389,0.4865,0.1861,0.0964,0.1736,0.0382,27,1,8,0.75,0.0278,0.2222,4,INCREASE
vlc,59,2015-05 -- 2015-08,62,32,8,22,0.5161,0.129,0.3548,7,0.1129,1,0.0333,12,21,21,9,0.6444,0.9037,0.8902,0.7027,0.7273,0.75,0.3333,0.5753,0.6452,0.6613,0.6111,0.7,0.0394,0.4231,0.5695,0.2282,0.2769,0.2072,0.0698,12,0,9,0.5714,0,0.4286,13,INCREASE
vlc,59,2015-08 -- 2015-11,79,43,12,24,0.5443,0.1519,0.3038,10,0.1266,3,0.0833,18,30,27,12,0.5306,0.8861,0.4681,0.3333,0.3922,0.4583,0.0952,0.5758,0.6835,0.6203,0.597,0.6667,0.0433,0.555,0.5042,0.4086,0.1313,0.4673,0.0471,19,4,8,0.6129,0.129,0.2581,0,DECREASE
vlc,59,2015-11 -- 2016-02,57,18,8,31,0.3158,0.1404,0.5439,13,0.2281,0,0,18,20,19,11,0.6042,0.906,0.7647,0.48,0.72,0.7391,0.4348,0.7115,0.5439,0.6491,0.6122,0.7179,0.0396,0.3052,0.5116,0.1381,0.2294,0.2729,0.0777,9,1,10,0.45,0.05,0.5,12,INCREASE
vagrant,60,2013-06 -- 2013-09,227,174,50,3,0.7665,0.2203,0.0132,15,0.0661,2,0.0377,1,93,86,9,0,0.7555,0,0,0,0,0,0,0.1057,0.5903,0.5141,0.8302,0.0055,0.2437,0.2424,0.6366,0.6857,0.4548,0.0098,85,8,1,0.9043,0.0851,0.0106,40,INCREASE
vagrant,60,2013-09 -- 2013-12,242,161,77,4,0.6653,0.3182,0.0165,24,0.0992,5,0.0617,1,92,77,17,0,0.7844,0.8188,0.6866,0.8216,0.8466,0.4615,0.099,0.1901,0.6198,0.5333,0.7901,0.0055,0.2981,0.2595,0.458,0.6127,0.2354,0.0103,76,16,1,0.8172,0.172,0.0108,23,DECREASE
vagrant,60,2013-12 -- 2014-03,225,160,61,4,0.7111,0.2711,0.0178,15,0.0667,4,0.0615,1,90,81,16,0.08,0.8332,0.8908,0.9726,0.8242,0.8101,0.7273,0.1538,0.1333,0.6,0.5061,0.7538,0.0062,0.2974,0.2888,0.3807,0.6278,0.3008,0.0104,79,14,2,0.8316,0.1474,0.0211,99,INCREASE
vagrant,60,2014-03 -- 2014-05,342,246,88,8,0.7193,0.2573,0.0234,27,0.0789,6,0.0625,1,137,114,28,0.0097,0.6944,0.6631,0.7081,0.6167,0.6564,0.5,0.1117,0.2251,0.5994,0.5512,0.7083,0.0045,0.3914,0.3763,0.2114,0.5026,0.162,0.0079,110,24,4,0.7971,0.1739,0.029,8,DECREASE
vagrant,60,2014-05 -- 2014-08,215,170,41,4,0.7907,0.1907,0.0186,14,0.0651,1,0.0222,1,81,79,4,0,0.8311,11.059,12.766,10.734,0.9845,16.875,0.2143,0.0698,0.6233,0.546,0.9111,0.0074,0.5443,0.5734,0.4715,0.374,0.0171,0.0107,78,3,1,0.9512,0.0366,0.0122,19,INCREASE
vagrant,60,2014-08 -- 2014-11,224,155,64,5,0.692,0.2857,0.0223,20,0.0893,0,0,1,85,77,10,0,0.8047,0.8246,0.614,0.7711,0.8077,0.4286,0.0442,0.1607,0.6205,0.5188,0.8551,0.0063,0.4152,0.4484,0.6023,0.3955,0.2374,0.009,75,8,2,0.8824,0.0941,0.0235,6,DECREASE
vagrant,60,2014-11 -- 2015-02,218,149,63,6,0.6835,0.289,0.0275,25,0.1147,0,0,1,67,64,6,0.1111,0.9372,0.8688,0.8261,0.9211,0.8936,1,0.125,0.0413,0.6927,0.5871,0.913,0.0064,0.4008,0.4505,0.5647,0.5065,0.0241,0.0103,62,4,2,0.9118,0.0588,0.0294,1,DECREASE
vagrant,60,2015-02 -- 2015-05,200,138,58,4,0.69,0.29,0.02,16,0.08,0,0,1,64,64,1,0,0.9677,0.8804,0.8702,0.855,0.8281,14.286,0.0326,0.215,0.68,0.5493,0.9839,0.0072,0.3966,0.5122,0.2133,0.2036,-0.5,0.0104,63,0,1,0.9844,0,0.0156,21,INCREASE
vagrant,60,2015-05 -- 2015-08,215,134,76,5,0.6233,0.3535,0.0233,12,0.0558,1,0.0123,1,72,60,14,0,0.9297,0.7518,0.4336,0.7647,0.8548,0,0.2308,0.1395,0.6651,0.5683,0.8272,0.006,0.3391,0.4672,0.629,0.381,0.6213,0.0095,57,11,3,0.8028,0.1549,0.0423,25,INCREASE
vagrant,60,2015-08 -- 2015-11,168,98,67,3,0.5833,0.3988,0.0179,15,0.0893,1,0.0143,1,62,55,8,0,0.8777,0.9608,0.8609,0.8507,0.8174,1,0.125,0.1429,0.631,0.4554,0.8857,0.0077,0.3804,0.4632,0.5732,0.2216,0.4327,0.0098,54,7,1,0.871,0.1129,0.0161,11,DECREASE
vagrant,60,2015-11 -- 2016-02,168,107,58,3,0.6369,0.3452,0.0179,21,0.125,2,0.0328,1,61,55,7,0,0.927,0.869,0.9618,0.7967,0.8182,0.6667,0.1233,0.1071,0.6369,0.5,0.8852,0.0076,0.3828,0.5404,0.6146,0.1861,0.3837,0.0105,54,6,1,0.8852,0.0984,0.0164,2,DECREASE
