project,id.project,range.date,devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree.centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,org.silo,org.siloN
tornado,56,2014-01 -- 2014-05,110,91,17,2,0.8273,0.1545,0.0182,5,0.0455,2,0.1053,1,47,44,4,0,0.6784,0.5275,0.7568,0.4533,0.4857,0.8889,0.3958,0.3,0.5727,0.5269,0.7895,0.0135,0.3858,0.4686,0.3403,0.3529,0.0443,0.0269,43,3,1,0.9149,0.0638,0.0213,13,INCREASE
tornado,56,2014-05 -- 2014-08,87,64,19,4,0.7356,0.2184,0.046,7,0.0805,1,0.0435,1,28,26,6,0,0.5318,0.9036,0.6667,1.04,10.286,0.6,0.2921,0.4023,0.6782,0.6176,0.7391,0.0358,0.5858,0.6656,0.2556,0.217,-0.2872,0.0553,25,5,1,0.8065,0.1613,0.0323,5,DECREASE
tornado,56,2014-08 -- 2014-11,76,59,12,5,0.7763,0.1579,0.0658,7,0.0921,0,0,1,26,25,3,0,0.7255,0.7975,0.95,0.5926,0.549,11.111,0.4615,0.0921,0.6579,0.6094,0.8235,0.0347,0.5572,0.5639,0.3841,0.3534,-0.3099,0.0495,23,1,2,0.8846,0.0385,0.0769,7,INCREASE
tornado,56,2014-11 -- 2015-02,85,61,21,3,0.7176,0.2471,0.0353,5,0.0588,0,0,1,31,29,5,0.125,0.7292,0.6957,0.6341,0.5965,0.5926,0.5,0.0893,0.1647,0.6353,0.5469,0.7917,0.0204,0.3729,0.4318,0.3195,0.2852,0.0872,0.0325,27,3,2,0.8438,0.0938,0.0625,17,INCREASE
tornado,56,2015-02 -- 2015-05,66,44,20,2,0.6667,0.303,0.0303,9,0.1364,1,0.0455,1,29,23,7,0.0556,0.4672,0.9272,0.8261,0.8333,0.8846,0.6667,0.1571,0.2879,0.5606,0.5,0.6818,0.0374,0.6024,0.5767,0.3156,0.3247,0.2087,0.0387,22,6,1,0.7586,0.2069,0.0345,3,DECREASE
tornado,56,2015-05 -- 2015-08,53,45,7,1,0.8491,0.1321,0.0189,2,0.0377,0,0,1,20,20,2,0,0.5,0.9244,1.4,0.9388,0.7907,13.333,0.3091,0.2642,0.6226,0.5652,0.75,0.0818,0.6789,0.7798,0.291,0.1837,-0.3963,0.0856,19,1,1,0.9048,0.0476,0.0476,8,INCREASE
tornado,56,2015-08 -- 2015-10,68,46,19,3,0.6765,0.2794,0.0441,8,0.1176,3,0.1364,1,20,18,7,0.1111,0.6717,0.562,0.4667,0.5,0.5263,0.2222,0.3529,0.5588,0.7059,0.6327,0.6818,0.0267,0.4477,0.59,0.2227,0.1169,0.0728,0.0518,16,5,2,0.6957,0.2174,0.087,2,DECREASE
tornado,56,2015-10 -- 2016-01,63,47,15,1,0.746,0.2381,0.0159,3,0.0476,0,0,1,22,21,2,0,0.8125,0.8244,1,0.5238,0.4615,13.333,0.5556,0.0952,0.6508,0.5625,0.875,0.0245,0.3432,0.4352,0.3404,0.3108,-0.398,0.0486,20,1,1,0.9091,0.0455,0.0455,5,INCREASE
wine,57,2013-06 -- 2013-09,124,53,26,45,0.4274,0.2097,0.3629,28,0.2258,4,0.0563,1,44,40,20,0.2933,0.914,0,0,0,0,0,0,0.5,0.6452,0.5918,0.7183,0.0152,0.1365,0.2557,0.6778,0.4445,0.6916,0.0451,29,9,11,0.5918,0.1837,0.2245,23,DECREASE
wine,57,2013-09 -- 2013-12,101,39,21,41,0.3861,0.2079,0.4059,17,0.1683,0,0,1,32,35,18,0.2197,0.8032,0.56,0.4812,0.5,0.48,0.3158,0.4127,0.4554,0.6832,0.5625,0.7097,0.0173,0.1304,0.2663,0.4387,0.4743,0.4414,0.0537,19,2,16,0.5135,0.0541,0.4324,11,DECREASE
